Disease,Symptoms
Cough,"Sore throat, chest congestion"
Diabetes,"Frequent urination, fatigue"
Hypertension,"High blood pressure, stress"
Migraine,"Severe headache, nausea"
Arthritis,"Joint pain, swelling"
Common Cold,"Runny nose, sneezing, mild fever"
Indigestion,"Bloating, abdominal discomfort"
Asthma,"Wheezing, shortness of breath"
Constipation,"Hard stools, infrequent bowel movement"
Insomnia,"Difficulty sleeping, restlessness"
Obesity,"Weight gain, lethargy"
Skin Allergy,"Itchy rash, redness"
Anxiety,"Excessive worry, restlessness"
Fever,"High temperature, body aches"
Acidity,"Heartburn, sour taste, nausea"
Acne,"Pimples, blackheads, oily skin"
Acromegaly,"Enlarged hands/feet, thickened skin"
Acute Kidney Injury,"Reduced urine output, swelling, confusion"
Addison's Disease,"Fatigue, low blood pressure, weight loss"
Adrenal Insufficiency,"Fatigue, muscle weakness, low energy"
Alkaptonuria,"Dark urine, joint pain, stiffness"
Allergies,"Sneezing, itching, rashes"
Alopecia,"Hair loss, thinning of scalp"
Alzheimer's Disease,"Memory loss, confusion, difficulty thinking"
Amebiasis,"Abdominal pain, diarrhea, fever"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty swallowing, speech problems"
Anxiety,"Restlessness, nervousness, rapid breathing"
Argininemia,"Muscle weakness, intellectual disability"
Argininosuccinic Aciduria,"Poor growth, intellectual disability"
Arrhythmia,"Irregular heartbeat, palpitations, dizziness"
Arthritis,"Joint pain, stiffness, swelling"
Ascariasis,"Abdominal pain, nausea, intestinal discomfort"
Asparagine Synthetase Deficiency,"Developmental delays, epilepsy"
Aspartylglucosaminuria,"Growth delay, intellectual disability"
Asthma,"Wheezing, shortness of breath, chest tightness"
Atherosclerosis,"Chest pain, fatigue, high cholesterol"
Autosomal Dominant Polycystic Kidney Disease,"High blood pressure, kidney pain, frequent urination"
Back Pain,"Muscle stiffness, difficulty moving"
Barth Syndrome,"Muscle weakness, fatigue, delayed growth"
Arrhythmia,"Enlarged organs, low blood sugar, growth delays"
Arthritis,"Vision loss, difficulty focusing"
Ascariasis,"Seizures, skin rash, hearing loss"
Asparagine Synthetase Deficiency,"Fever, chest pain, cough"
Aspartylglucosaminuria,"Small stature, sensitivity to sunlight, skin rash"
Asthma,"Pain, swelling, difficulty moving"
Atherosclerosis,"Muscle weakness, difficulty swallowing, breathing"
Autosomal Dominant Polycystic Kidney Disease,"Lump in breast, skin changes, nipple discharge"
Back Pain,"Persistent cough, mucus production, chest pain"
Barth Syndrome,"Fever, joint pain, fatigue"
Brugada Syndrome,"Fainting, irregular heartbeat, chest pain"
Bubonic Plague,"Fever, chills, swollen lymph nodes"
Buruli Ulcer,"Skin ulcers, pain, fever"
COVID-19,"Fever, cough, difficulty breathing"
Canavan Disease,"Muscle weakness, difficulty swallowing, seizures"
